Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
OBTC3,"7,26","-4,91","1,36","0,000","0,00%","1,263","137,99","-234,86","-21,57","-245,49","-245,92","0,00%","0,00%","4,02","-0,54%","-27,71%","2.074.170,00","1.696.380.000,00","0,07","0,00%"
LFFE4,"3,89","-4,91","4,08","0,000","0,00%","3,599","0,00","-26,50","0,00","-23,11","10,90","0,00%","0,00%","0,00","0,00%","-83,10%","0,00","51.892.000,00","0,00","0,00%"
CGOS3,"26,20","-4,85","1,89","0,509","0,00%","0,167","-0,83","-256,60","-0,25","-570,29","-570,29","-0,20%","-10,48%","0,54","-0,08%","-39,02%","0,00","453.387.000,00","2,48","8,97%"
TCNO4,"0,85","-4,82","-5,95","0,000","0,00%","0,024","-0,06","-2,04","-0,03","-14,27","-16,48","0,00%","0,00%","0,28","-1,59%","123,36%","0,00","-946.000,00","-35,76","-32,39%"
RIOS3,"30,50","-4,53","-2,30","9,327","0,00%","1,090","-1,01","-38,47","-0,75","-67,84","-33,85","-24,24%","-205,85%","0,01","-3,26%","50,77%","0,00","-905.447.000,00","-1,76","53,12%"
RCSL4,"0,60","-4,50","-3,37","48,491","0,00%","2,338","-11,57","-27,09","-1,71","-27,00","-27,53","-178,98%","-1.077,14%","0,63","-9,02%","74,82%","8.117.400,00","-22.673.000,00","0,00","-57,61%"
PRML3,"11,52","-4,41","1,98","18,612","0,00%","0,581","23,00","-30,33","-0,93","-63,15","1.640,31","-61,36%","-424,99%","2,02","-1,96%","-44,84%","0,00","2.192.720.000,00","2,18","32,85%"
AMER3,"5,74","-4,24","0,24","0,093","0,00%","0,071","0,37","-1,34","-0,31","-2,44","-41,81","-6,97%","-2,20%","1,67","-6,74%","-5,69%","19.441.600,00","4.759.000.000,00","0,42","-16,57%"
CSNA3,"6,23","-4,13","0,64","0,184","0,00%","0,082","3,66","1,29","-0,15","7,23","4,38","14,24%","-3,36%","1,08","8,14%","-15,55%","97.718.000,00","12.876.100.000,00","4,11","-1,49%"
ADHM3,"1,56","-4,09","-1,29","770,924","0,00%","105,126","-1,43","-5,69","-1,27","-5,69","-5,81","-13.548,50%","-18.860,60%","0,00","521,70%","31,47%","2.064,00","-19.776.000,00","0,00","43,48%"
BUET4,"18,49","-4,04","-0,72","1,451","0,00%","0,423","-0,50","-9,72","-0,29","-19,18","-30,83","-14,93%","-35,93%","0,11","-5,95%","17,79%","0,00","-124.674.000,00","-0,70","4,55%"
USIM5,"8,29","-3,98","0,51","0,411","0,00%","0,299","0,82","12,24","2,11","11,65","4,73","3,36%","-9,30%","4,54","3,29%","-12,70%","92.729.100,00","20.537.300.000,00","0,30","-7,76%"
PMET5,"0,65","-3,95","-0,16","4,518","0,00%","30,248","-0,22","89,99","-0,16","503,88","503,88","5,02%","-114,49%","0,01","38,97%","4,10%","0,00","-290.863.000,00","-0,74","37,74%"
LFFE3,"3,11","-3,92","3,26","0,000","0,00%","2,877","0,00","-21,18","0,00","-17,80","8,39","0,00%","0,00%","0,00","0,00%","-83,10%","0,00","51.892.000,00","0,00","0,00%"
USIM3,"8,05","-3,87","0,49","0,399","0,00%","0,290","0,79","11,88","2,04","11,30","4,58","3,36%","-9,30%","4,54","3,29%","-12,70%","3.794.900,00","20.537.300.000,00","0,30","-7,76%"
USIM6,"8,00","-3,84","0,49","0,397","0,00%","0,288","0,79","11,81","2,03","11,23","4,55","3,36%","-9,30%","4,54","3,29%","-12,70%","75,81","20.537.300.000,00","0,30","-7,76%"
FBMC3,"80,00","-3,78","-0,92","3,858","0,00%","1,384","-1,79","-2,85","-0,64","-3,31","-3,69","-135,59%","-101,97%","0,31","-64,70%","24,19%","0,00","-63.552.000,00","-0,15","-31,66%"
MRVE3,"6,92","-3,74","0,73","0,357","0,00%","0,137","0,50","2,42","-0,56","7,60","6,58","14,76%","-9,56%","2,03","5,87%","-19,56%","79.755.000,00","5.327.810.000,00","1,61","12,31%"
FIEI3,"12,60","-3,69","0,43","-1.052,320","0,00%","0,277","-3,18","-6,84","-0,93","-11,02","-11,75","15.389,70%","28.534,50%","0,40","-4,44%","-11,62%","0,00","71.172.000,00","0,32","-21,89%"
DASA3,"3,38","-3,68","0,62","0,380","0,00%","0,229","3,89","4,19","-0,71","9,10","4,31","9,06%","-10,16%","1,24","6,73%","-16,78%","5.785.880,00","6.865.120.000,00","1,11","2,98%"
TLCP4,"34,11","-3,57","1,25","0,586","0,00%","0,379","-1,96","-18,91","-0,95","-36,16","-36,16","-3,10%","-16,40%","0,61","-2,52%","-35,04%","0,00","262.979.000,00","1,21","9,09%"
RCSL3,"0,46","-3,45","-2,58","37,177","0,00%","1,792","-8,87","-20,77","-1,31","-20,68","-21,09","-178,98%","-1.077,14%","0,63","-9,02%","74,82%","234.667,00","-22.673.000,00","0,00","-57,61%"
BECE3,"9,10","-3,42","8,72","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-255,20%","0,00","96.496.000,00","0,00","12,81%"
BECE4,"8,75","-3,29","8,38","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-255,20%","0,00","96.496.000,00","0,00","12,81%"
BIED3,"8,00","-3,17","11,16","0,640","0,00%","0,546","-1,29","24,98","-0,73","28,93","11,88","2,56%","-18,50%","0,21","2,28%","-352,31%","38.254,40","19.087.000,00","2,40","4,45%"
CEDO3,"10,00","-3,06","0,36","0,121","0,00%","0,108","4,97","1,02","-0,36","4,98","4,09","11,85%","-3,94%","1,06","11,59%","-11,77%","1.903,00","277.674.000,00","1,46","-4,41%"
PNOR5,"1,87","-2,90","0,55","0,354","0,00%","0,205","0,70","8,52","-2,32","4,57","4,57","4,15%","-11,74%","2,50","3,61%","-18,84%","0,00","158.071.000,00","0,42","1,34%"
PNOR6,"1,87","-2,90","0,55","0,354","0,00%","0,205","0,70","8,52","-2,32","4,57","4,57","4,15%","-11,74%","2,50","3,61%","-18,84%","0,00","158.071.000,00","0,42","1,34%"
STRP4,"0,21","-2,85","-0,43","0,416","0,00%","0,111","-0,18","-0,45","-0,09","-1,15","-1,15","-91,82%","-14,58%","0,13","-25,49%","14,95%","0,00","-12.498.000,00","-0,66","-36,39%"
TUPY3,"14,02","-2,83","0,74","0,192","0,00%","0,198","0,54","6,48","-1,99","14,31","6,14","2,96%","-6,78%","2,40","4,48%","-26,24%","19.563.200,00","2.503.340.000,00","1,64","6,98%"
SOMA3,"5,94","-2,81","0,80","0,867","0,00%","0,486","2,01","7,45","19,87","9,24","6,13","11,63%","-30,81%","2,36","7,81%","-28,52%","0,00","5.809.620.000,00","0,33","58,94%"
LIXC3,"1,75","-2,62","1,52","395,995","0,00%","0,069","0,28","-4,21","3,84","-6,37","-6,68","-9.413,21%","-14.386,80%","1,34","-1,90%","-57,85%","0,00","13.842.000,00","0,79","-75,90%"
RNEW11,"3,23","-2,48","0,34","0,780","0,00%","0,133","-7,53","-48,09","-0,26","-127,70","10,87","-1,62%","-31,50%","0,84","-0,29%","-13,63%","0,00","1.190.210.000,00","0,62","43,81%"
BICB4,"8,25","-2,43","2,21","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,00%","0,00","944.626.000,00","0,00","-31,19%"
BICB3,"8,00","-2,35","2,14","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,00%","0,00","944.626.000,00","0,00","-31,19%"
RNEW3,"1,02","-2,35","0,32","0,739","0,00%","0,126","-7,13","-45,56","-0,24","-125,17","10,65","-1,62%","-31,50%","0,84","-0,29%","-13,63%","91.966,10","1.190.210.000,00","0,62","43,81%"
DMFN3,"12,50","-2,33","1,52","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-65,31%","0,00","507.216.000,00","0,00","89,76%"
RNEW4,"1,01","-2,32","0,32","0,732","0,00%","0,125","-7,06","-45,11","-0,24","-124,72","10,61","-1,62%","-31,50%","0,84","-0,29%","-13,63%","109.428,00","1.190.210.000,00","0,62","43,81%"
ARLA4,"3,38","-2,21","-0,62","2,137","0,00%","0,442","-0,31","-6,74","-0,29","-17,87","-17,87","-31,72%","-96,55%","0,10","-13,71%","28,00%","0,00","-24.319.000,00","-1,02","-47,46%"
LIXC4,"1,45","-2,17","1,26","328,110","0,00%","0,057","0,23","-3,49","3,18","-5,65","-5,92","-9.413,21%","-14.386,80%","1,34","-1,90%","-57,85%","0,00","13.842.000,00","0,79","-75,90%"
CEDO4,"7,09","-2,17","0,26","0,086","0,00%","0,077","3,53","0,72","-0,25","4,68","3,85","11,85%","-3,94%","1,06","11,59%","-11,77%","12.230,70","277.674.000,00","1,46","-4,41%"
LJQQ3,"1,80","-2,17","0,87","0,126","0,00%","0,093","0,34","30,92","-0,59","29,36","2,23","0,41%","-5,81%","1,61","0,42%","-39,99%","7.235.510,00","404.936.000,00","1,44","8,04%"
MMXM3,"14,00","-2,17","-0,11","0,000","0,00%","0,710","-0,10","4,70","-0,09","18,64","18,64","0,00%","0,00%","0,01","25,93%","4,97%","0,00","-842.661.000,00","-0,32","-28,51%"
OGXP3,"1,63","-2,15","-0,98","0,000","0,00%","0,925","0,00","-16,46","0,00","-16,46","-16,46","0,00%","0,00%","0,00","0,00%","45,53%","0,00","-53.901.000,00","0,00","0,00%"
NTCO3,"10,80","-2,09","0,99","0,692","0,00%","0,426","1,94","5,35","-15,63","6,80","5,58","12,93%","-33,04%","1,68","10,09%","-47,14%","0,00","15.043.700.000,00","0,42","-15,90%"
VTLM3,"0,79","-2,07","-0,65","390,404","0,00%","53,237","-0,72","-2,88","-0,64","-2,88","-2,94","-13.548,50%","-18.860,60%","0,00","521,70%","31,47%","0,00","-19.776.000,00","0,00","43,48%"
CSAN3,"5,04","-2,06","3,77","0,495","0,00%","0,148","0,81","2,27","-0,31","7,21","5,00","21,77%","-25,22%","2,58","8,48%","-183,29%","172.239.000,00","5.304.230.000,00","13,32","11,28%"
CEED4,"20,00","-1,94","-0,32","0,219","0,00%","0,137","1,15","2,44","-0,13","14,40","9,68","8,98%","-11,30%","1,53","7,14%","16,51%","0,00","-4.268.540.000,00","-1,89","6,88%"
MEAL3,"0,98","-1,89","0,33","0,162","0,00%","0,122","81,74","-6,45","-0,34","-13,32","4,33","-2,52%","-8,61%","1,01","-2,18%","-17,33%","247.953,00","859.642.000,00","0,55","-1,43%"
AMOB3,"14,17","-1,88","0,27","0,042","0,00%","0,064","0,40","1,96","-0,31","11,73","6,58","2,14%","-2,23%","1,41","4,39%","-14,14%","685.879,00","2.018.960.000,00","1,46","124,76%"
ARCZ3,"3,66","-1,88","1,95","1,096","0,00%","0,369","1,53","9,50","-0,84","28,18","28,18","11,54%","-58,02%","2,86","4,03%","-103,98%","0,00","1.934.210.000,00","3,92","0,75%"
ARCZ6,"3,63","-1,86","1,94","1,087","0,00%","0,366","1,52","9,42","-0,84","28,10","28,10","11,54%","-58,02%","2,86","4,03%","-103,98%","0,00","1.934.210.000,00","3,92","0,75%"
BISA3,"1,58","-1,77","1,18","1,692","0,00%","0,321","0,86","-4,02","-7,64","-6,21","-9,28","-42,05%","-96,36%","2,22","-8,50%","-66,94%","0,00","1.788.370.000,00","0,77","-24,23%"
KRSA3,"8,87","-1,72","1,65","0,288","0,00%","0,138","1,07","2,77","-0,23","15,08","9,11","10,39%","-17,67%","1,71","5,55%","-95,85%","0,00","416.529.000,00","7,95","14,74%"
BCAL6,"0,28","-1,70","-0,07","1,946","0,00%","13,030","-0,09","38,77","-0,07","452,65","452,65","5,02%","-114,49%","0,01","38,97%","4,10%","0,00","-290.863.000,00","-0,74","37,74%"
DJON4,"0,18","-1,70","0,22","-0,956","0,00%","0,166","-1,29","-1,42","-0,85","-1,98","-1,98","67,37%","56,33%","0,24","-12,02%","-12,84%","0,00","2.702.000,00","0,09","45,19%"
SPRI6,"11,00","-1,68","1,24","0,000","0,00%","1,196","2,33","-3,21","2,47","-2,86","-2,88","0,00%","0,00%","66,47","-42,86%","-73,82%","0,00","22.420.000,00","0,00","-7,33%"
SJOS3,"1,19","-1,66","-0,08","8,745","0,00%","5,292","-0,09","9,63","-0,08","23,31","23,31","90,80%","-525,31%","0,01","-4,15%","4,95%","0,00","-195.068.000,00","-0,12","-16,00%"
BLUT4,"1,52","-1,66","0,14","0,000","0,00%","0,041","-0,22","-12,69","-0,06","-23,74","-23,74","0,00%","0,00%","0,00","-0,33%","-8,24%","10.453,20","56.569.000,00","0,12","0,00%"
ARLA3,"2,47","-1,62","-0,45","1,562","0,00%","0,323","-0,22","-4,92","-0,21","-16,06","-16,06","-31,72%","-96,55%","0,10","-13,71%","28,00%","0,00","-24.319.000,00","-1,02","-47,46%"
SPRI3,"10,51","-1,61","1,19","0,000","0,00%","1,143","2,23","-3,07","2,36","-2,72","-2,74","0,00%","0,00%","66,47","-42,86%","-73,82%","0,00","22.420.000,00","0,00","-7,33%"
SDIA4,"6,42","-1,59","9,41","0,397","0,00%","0,418","-3,29","9,53","-0,83","23,15","23,15","4,16%","-25,09%","0,78","5,89%","-590,66%","0,00","459.230.000,00","17,27","13,42%"
SDIA3,"6,42","-1,59","9,41","0,397","0,00%","0,418","-3,29","9,53","-0,83","23,15","23,15","4,16%","-25,09%","0,78","5,89%","-590,66%","0,00","459.230.000,00","17,27","13,42%"
VVAR11,"14,58","-1,59","1,71","0,162","0,00%","0,141","-0,64","2,08","-0,29","4,17","2,87","7,80%","-10,23%","0,66","9,61%","-107,71%","0,00","2.774.000.000,00","2,27","-2,38%"
VVAR4,"4,84","-1,58","1,70","0,162","0,00%","0,140","-0,64","2,08","-0,29","4,17","2,86","7,80%","-10,23%","0,66","9,61%","-107,71%","0,00","2.774.000.000,00","2,27","-2,38%"
DUQE3,"28,00","-1,58","-11,29","12,103","0,00%","0,428","-0,74","-1,65","-0,57","-2,70","-2,98","-732,92%","-767,60%","0,33","-28,21%","715,74%","0,00","-6.987.000,00","-7,19","-42,70%"
PCAR3,"2,40","-1,43","0,56","0,062","0,00%","0,064","-0,96","0,75","-0,11","2,06","1,20","8,29%","-4,26%","0,83","12,17%","-39,13%","27.219.400,00","2.106.000.000,00","1,95","-17,25%"
AMBP3,"0,22","-1,43","0,34","0,051","0,00%","0,022","0,08","0,33","-0,05","5,96","3,38","15,56%","-2,56%","2,72","9,57%","-23,47%","1.402.460,00","1.093.330.000,00","10,10","56,82%"
SCLO4,"0,41","-1,42","0,00","0,000","0,00%","0,007","0,00","-0,85","0,00","-59,24","-59,24","0,00%","0,00%","0,18","-0,83%","0,21%","0,00","-131.423.000,00","-0,21","0,00%"
AVLL3,"0,89","-1,38","-0,94","0,297","0,00%","0,130","-3,50","1,25","-0,18","5,29","5,23","23,87%","-18,04%","0,92","12,78%","67,75%","39.070,50","-185.526.000,00","-4,05","32,65%"
SPRI5,"8,52","-1,30","0,96","0,000","0,00%","0,927","1,81","-2,49","1,91","-2,14","-2,15","0,00%","0,00%","66,47","-42,86%","-73,82%","0,00","22.420.000,00","0,00","-7,33%"
TPIS3,"11,32","-1,29","0,97","0,472","4,85%","0,227","-0,66","-1,71","-0,33","-5,78","-30,61","-27,64%","-38,18%","0,23","-14,36%","-75,23%","529.400,00","513.188.000,00","2,48","1,79%"
FHER3,"4,09","-1,28","-0,17","0,054","0,00%","0,103","-0,46","-0,78","-0,10","-0,66","-0,98","-6,92%","-4,21%","0,73","-42,35%","13,05%","36.204,80","-1.319.460.000,00","-0,05","-2,97%"
IDVL4,"2,67","-1,26","1,16","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,76%","0,00","237.683.000,00","0,00","0,00%"
PTBL4,"2,59","-1,25","13,79","0,140","0,00%","0,105","-1,97","3,40","-0,16","13,64","4,66","4,12%","-11,19%","0,86","4,09%","-1.101,94%","0,00","26.475.000,00","48,62","7,37%"
MWET4,"17,00","-1,23","5,30","0,177","0,00%","0,106","-0,94","-3,95","-0,17","-16,13","-89,38","-4,48%","-14,47%","0,76","-3,05%","-432,26%","27.089,70","6.606.000,00","16,93","-4,59%"
PMET6,"0,20","-1,21","-0,05","1,390","0,00%","9,307","-0,07","27,69","-0,05","441,57","441,57","5,02%","-114,49%","0,01","38,97%","4,10%","0,00","-290.863.000,00","-0,74","37,74%"
MWET3,"16,00","-1,15","4,98","0,167","0,00%","0,100","-0,89","-3,72","-0,16","-15,90","-88,10","-4,48%","-14,47%","0,76","-3,05%","-432,26%","342,86","6.606.000,00","16,93","-4,59%"
NORD3,"2,05","-1,11","-0,07","4,948","0,00%","0,718","-0,07","-2,68","-0,07","-8,57","-8,57","-184,91%","-446,01%","0,00","-27,14%","6,65%","7.950,95","-184.053.000,00","-0,16","11,65%"
VIVR3,"0,38","-1,10","-0,41","0,644","0,00%","0,088","-1,91","-1,63","-0,11","-2,91","-3,01","-39,63%","-60,98%","0,90","-5,74%","37,13%","44.227,80","-45.467.000,00","-0,49","-16,46%"
PTBL3,"2,18","-1,05","11,61","0,118","0,00%","0,088","-1,66","2,86","-0,13","13,10","4,48","4,12%","-11,19%","0,86","4,09%","-1.101,94%","1.121.880,00","26.475.000,00","48,62","7,37%"
LGLO4,"100,00","-1,05","0,65","0,225","0,00%","0,192","-0,32","-1,24","-0,32","-2,13","-2,13","-18,10%","-21,47%","0,14","-18,37%","-62,51%","0,00","5.191.000,00","0,49","-11,42%"
IDVL3,"2,16","-1,02","0,93","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,76%","0,00","237.683.000,00","0,00","0,00%"
SEQL3,"0,11","-0,96","-1,11","1,045","0,00%","0,866","-1,00","-1,64","-0,48","-3,59","-5,07","-63,62%","-134,12%","0,17","-57,03%","115,56%","669.458,00","-622.283.000,00","-1,33","-22,13%"
CEED3,"9,79","-0,95","-0,16","0,107","0,00%","0,067","0,56","1,19","-0,06","13,15","8,85","8,98%","-11,30%","1,53","7,14%","16,51%","0,00","-4.268.540.000,00","-1,89","6,88%"
TCSA3,"1,26","-0,92","0,32","0,432","0,00%","0,077","0,61","-0,93","-0,22","-5,89","-6,37","-46,53%","-46,67%","1,44","-10,30%","-35,23%","152.207,00","285.763.000,00","2,49","15,60%"
BHIA3,"2,68","-0,88","0,94","0,090","0,00%","0,078","-0,35","1,15","-0,16","3,24","2,23","7,80%","-10,23%","0,66","9,61%","-107,71%","14.142.800,00","2.774.000.000,00","2,27","-2,38%"
DHBI3,"19,00","-0,83","-0,17","0,869","0,00%","0,343","-0,16","-3,68","-0,13","-24,58","-59,55","-23,58%","-154,81%","0,12","-10,50%","21,03%","0,00","-456.340.000,00","-0,99","-23,62%"
LETO5,"2,06","-0,83","-0,14","0,000","0,00%","0,248","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,05%","0,00","-58.642.000,00","0,00","-17,38%"
WDCN3,"2,44","-0,81","0,33","0,178","0,00%","0,130","0,65","1,05","-1,15","-0,12","-0,05","16,87%","-21,96%","1,68","15,36%","-41,19%","46.986,90","465.514.000,00","0,00","-6,28%"
IENG3,"0,15","-0,81","0,99","1,717","0,00%","0,110","-1,17","3,88","-0,30","25,11","25,11","44,29%","-224,61%","0,85","2,84%","-122,41%","0,00","52.234.000,00","5,45","8,13%"
BAHI11,"2,00","-0,79","2,79","0,160","0,00%","0,137","-0,32","6,24","-0,18","10,20","4,19","2,56%","-18,50%","0,21","2,28%","-352,31%","0,00","19.087.000,00","2,40","4,45%"
TXRX3,"9,98","-0,74","-0,11","0,367","0,00%","0,246","-0,37","-6,11","-0,08","-56,69","-141,23","-6,00%","-49,27%","0,38","-4,23%","14,34%","23,76","-398.269.000,00","-0,88","-11,85%"
BRKM5,"9,15","-0,74","-0,45","0,103","0,00%","0,089","-0,75","-2,03","-0,11","-13,18","43,49","-5,07%","-15,50%","0,76","-6,31%","61,19%","70.710.300,00","-16.147.000.000,00","-3,21","-9,72%"
SHOW3,"5,60","-0,72","0,37","0,209","0,00%","0,112","0,90","-10,66","-0,71","-4,31","4,79","-1,96%","-30,08%","1,30","-1,73%","-50,68%","304.446,00","103.032.000,00","0,48","32,60%"
TOKY3,"0,31","-0,71","0,15","0,047","0,00%","0,037","-0,88","-9,54","-0,07","-77,24","2,80","-0,49%","-10,16%","0,88","-0,45%","-21,24%","228.397,00","443.085.000,00","1,15","17,72%"
LATM11,"28,65","-0,68","0,02","0,006","0,00%","0,003","-0,02","0,05","0,00","7,74","7,74","11,46%","-0,39%","0,49","6,55%","-2,37%","0,00","11.357.000.000,00","2,92","16,69%"
CELM3,"15,00","-0,67","-0,16","0,257","0,00%","0,132","-0,21","-1,02","-0,10","-4,26","-4,26","-25,14%","-38,36%","0,44","-15,60%","23,41%","0,00","-11.104.000,00","-0,66","5,80%"
PMAM4,"5,84","-0,66","-0,12","1,566","0,00%","0,730","-0,12","-2,71","-0,10","-20,14","-26,69","-57,73%","-236,74%","0,03","-63,13%","17,65%","0,00","-7.544.090.000,00","-0,76","-43,59%"
IENG5,"0,12","-0,65","0,79","1,374","0,00%","0,088","-0,93","3,10","-0,24","24,33","24,33","44,29%","-224,61%","0,85","2,84%","-122,41%","0,00","52.234.000,00","5,45","8,13%"
BRKM3,"7,93","-0,64","-0,39","0,089","0,00%","0,077","-0,65","-1,76","-0,09","-12,91","42,60","-5,07%","-15,50%","0,76","-6,31%","61,19%","476.784,00","-16.147.000.000,00","-3,21","-9,72%"
LUPA3,"0,75","-0,59","0,48","0,682","0,00%","0,074","0,76","-1,01","-0,21","-6,09","-6,82","-67,28%","-115,60%","1,25","-7,72%","-80,81%","161.530,00","74.470.000,00","2,39","-10,09%"
BRPR3,"131,17","-0,57","0,05","0,695","1.202,89%","0,038","1,73","12,11","-0,49","-3,70","-2,55","5,74%","-123,98%","1,12","0,35%","-9,34%","0,00","1.136.910.000,00","0,07","-25,05%"
BRKM6,"6,83","-0,55","-0,34","0,077","0,00%","0,066","-0,56","-1,52","-0,08","-12,67","41,79","-5,07%","-15,50%","0,76","-6,31%","61,19%","849,14","-16.147.000.000,00","-3,21","-9,72%"
BDLL3,"7,00","-0,54","-0,05","0,233","0,00%","0,028","-0,06","-0,75","-0,02","-12,38","-14,19","-30,91%","-43,17%","0,44","-4,06%","8,48%","50,05","-244.690.000,00","-0,74","20,12%"
FICT3,"0,31","-0,53","0,23","3,919","0,00%","0,151","0,25","-1,59","0,27","3,36","4,80","-247,09%","-738,88%","3,17","-43,63%","-43,25%","36.598,30","59.287.000,00","0,17","-36,00%"
CTAX3,"0,66","-0,51","0,15","0,039","0,00%","0,015","-0,07","-6,74","-0,02","-62,51","10,94","-0,59%","-7,69%","0,45","-0,25%","-29,91%","6.997,93","114.904.000,00","2,16","-20,52%"
ONCO3,"1,63","-0,51","2,05","0,322","0,00%","0,259","-0,80","4,35","-0,58","12,09","7,11","7,40%","-63,96%","0,56","7,69%","-402,23%","16.700.000,00","900.927.000,00","4,22","21,26%"
FRTA3,"1,31","-0,49","-0,04","0,357","0,00%","0,088","-0,03","-0,68","-0,03","-17,74","-18,74","-52,65%","-72,29%","0,03","-18,02%","7,17%","0,00","-75.884.000,00","-0,89","-6,51%"
REEM4,"4,63","-0,48","-0,08","0,197","0,00%","0,137","-0,14","-4,33","-0,07","-3,84","-6,01","-4,54%","-40,65%","0,45","4,61%","15,78%","0,00","-372.708.000,00","0,00","-13,59%"
CCXC3,"1,16","-0,48","-0,04","0,000","0,00%","0,185","0,00","-0,65","0,00","-0,52","-0,52","0,00%","0,00%","0,00","0,00%","7,85%","0,00","-52.699.000,00","0,00","0,00%"
RDNI3,"2,14","-0,47","1,25","0,268","0,00%","0,089","0,58","-1,15","-0,25","-6,91","-7,28","-23,40%","-57,14%","1,39","-8,35%","-265,86%","0,00","74.882.000,00","6,57","-7,84%"
CTNM3,"7,13","-0,46","-0,58","0,344","0,00%","0,073","-0,12","-0,51","-0,07","-3,40","-4,32","-67,36%","-137,36%","0,24","-17,07%","126,34%","0,00","-375.916.000,00","-3,54","-24,85%"
DOCA3,"11,00","-0,40","-0,03","-3,064","0,00%","0,030","-0,32","-0,26","-0,02","-6,86","-6,76","1.165,92%","636,17%","0,61","-12,48%","8,24%","0,00","-390.317.000,00","-0,82","-38,80%"
FGUI4,"0,38","-0,39","-0,07","0,507","0,00%","0,798","-0,07","-1,83","-0,06","-14,24","-14,24","-27,72%","-129,00%","0,04","-60,74%","17,32%","0,00","-222.024.000,00","-0,46","2,13%"
BDLL4,"4,75","-0,37","-0,03","0,158","0,00%","0,019","-0,04","-0,51","-0,02","-12,14","-13,91","-30,91%","-43,17%","0,44","-4,06%","8,48%","4.232,83","-244.690.000,00","-0,74","20,12%"
WISA4,"0,25","-0,35","-0,01","0,219","0,00%","0,029","-0,06","-0,31","-0,01","-19,27","-19,27","-71,41%","-62,75%","0,18","-9,78%","2,39%","0,00","-205.386.000,00","-0,52","-48,66%"
IFCM3,"0,87","-0,33","0,59","0,161","0,00%","0,087","0,50","-1,07","-0,25","-4,19","-14,13","-15,12%","-48,16%","1,55","-11,37%","-175,26%","475.433,00","195.075.000,00","2,35","12,93%"
LETO3,"0,80","-0,32","-0,05","0,000","0,00%","0,096","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,05%","0,00","-58.642.000,00","0,00","-17,38%"
WISA3,"0,20","-0,28","-0,01","0,175","0,00%","0,023","-0,05","-0,25","-0,01","-19,21","-19,21","-71,41%","-62,75%","0,18","-9,78%","2,39%","0,00","-205.386.000,00","-0,52","-48,66%"
ADMF3,"20,00","-0,25","-156,41","0,000","0,00%","5.303,640","-156,41","-8,06","-156,41","-8,05","-8,05","0,00%","0,00%","0,03","2.484,22%","62.343,80%","449,43","-746.000,00","0,00","0,00%"
ARND3,"0,74","-0,24","0,89","1,218","0,00%","0,356","0,85","-4,37","4,50","-4,28","-4,28","-27,86%","-511,85%","3,05","-12,96%","-374,35%","742,05","117.149.000,00","0,84","11,30%"
CTSA8,"1,00","-0,23","0,21","0,283","0,00%","0,047","-0,13","-0,41","-0,08","-3,50","-4,12","-69,22%","-124,60%","0,30","-13,22%","-93,74%","0,00","130.725.000,00","1,66","-34,39%"
OIBR4,"1,23","-0,22","-0,03","1,783","0,00%","0,022","-0,13","-0,16","-0,01","-4,02","-5,36","-1.141,46%","-808,87%","0,59","-17,97%","11,89%","1.127,21","-15.496.000.000,00","-0,72","-45,94%"
RAIZ4,"0,47","-0,22","-3,05","0,021","0,00%","0,041","0,20","5,93","-0,08","80,67","6,29","0,35%","-9,61%","1,69","0,89%","1.393,79%","18.963.900,00","-1.596.880.000,00","-48,93","2,16%"
BOBR4,"1,28","-0,21","-0,21","0,197","0,00%","0,372","-1,82","2,03","-0,16","2,96","2,57","9,70%","-93,58%","0,71","28,50%","100,06%","8.275,38","-1.583.160.000,00","-0,11","9,92%"
INEP4,"1,92","-0,21","-0,06","16,061","0,00%","0,282","-0,14","-0,27","-0,05","-2,35","-2,39","-6.002,51%","-7.895,20%","0,15","-126,19%","29,37%","55.467,00","-1.698.280.000,00","-0,49","-29,77%"
INEP3,"1,88","-0,21","-0,06","15,727","0,00%","0,276","-0,13","-0,26","-0,05","-2,34","-2,38","-6.002,51%","-7.895,20%","0,15","-126,19%","29,37%","144.209,00","-1.698.280.000,00","-0,49","-29,77%"
